Strike Price,Type,Open Price,Close Price,Change,Volume,Expiration Date,Date
250.0,call,0.43,2.75,2.32,248048,2024-07-05,2024-07-03
255.0,call,0.26,1.43,1.17,87259,2024-07-05,2024-07-03
247.5,call,0.74,3.69,2.95,76664,2024-07-05,2024-07-03
245.0,call,1.32,4.89,3.5699999999999994,208083,2024-07-05,2024-07-03
250.0,put,19.0,6.14,-12.86,13933,2024-07-05,2024-07-03
255.0,put,24.0,10.5,-13.5,1454,2024-07-05,2024-07-03
247.5,put,14.73,4.55,-10.18,11919,2024-07-05,2024-07-03
245.0,put,9.95,3.3,-6.6499999999999995,77241,2024-07-05,2024-07-03
255.0,call,6.55,5.9,-0.6499999999999995,100087,2024-07-12,2024-07-08
257.5,call,5.75,4.94,-0.8099999999999996,39247,2024-07-12,2024-07-08
252.5,call,7.55,7.05,-0.5,51813,2024-07-12,2024-07-08
250.0,call,8.77,8.2,-0.5700000000000003,84395,2024-07-12,2024-07-08
255.0,put,10.0,7.77,-2.2300000000000004,29531,2024-07-12,2024-07-08
257.5,put,11.64,9.31,-2.33,11776,2024-07-12,2024-07-08
252.5,put,8.3,6.4,-1.9000000000000004,27100,2024-07-12,2024-07-08
250.0,put,7.05,5.2,-1.8499999999999996,75932,2024-07-12,2024-07-08
265.0,call,2.8,5.14,2.34,112493,2024-07-12,2024-07-09
267.5,call,2.29,4.2,1.9100000000000001,29950,2024-07-12,2024-07-09
262.5,call,3.35,6.27,2.9199999999999995,53687,2024-07-12,2024-07-09
260.0,call,4.1,7.6,3.5,139819,2024-07-12,2024-07-09
265.0,put,14.6,7.58,-7.02,26517,2024-07-12,2024-07-09
267.5,put,16.1,9.56,-6.540000000000001,4070,2024-07-12,2024-07-09
262.5,put,14.25,6.34,-7.91,32903,2024-07-12,2024-07-09
260.0,put,11.0,4.9,-6.1,78180,2024-07-12,2024-07-09
262.5,call,6.27,5.8,-0.46999999999999975,50432,2024-07-12,2024-07-10
265.0,call,5.14,4.65,-0.4899999999999993,127545,2024-07-12,2024-07-10
260.0,call,7.6,7.2,-0.39999999999999947,52392,2024-07-12,2024-07-10
257.5,call,8.86,8.79,-0.07000000000000028,11305,2024-07-12,2024-07-10
262.5,put,6.34,4.9,-1.4399999999999995,33792,2024-07-12,2024-07-10
265.0,put,7.58,6.25,-1.33,41506,2024-07-12,2024-07-10
260.0,put,4.9,3.75,-1.1500000000000004,82074,2024-07-12,2024-07-10
257.5,put,3.97,2.8,-1.1700000000000004,35484,2024-07-12,2024-07-10
237.5,call,26.87,6.13,-20.740000000000002,1754,2024-07-12,2024-07-11
240.0,call,24.05,4.55,-19.5,14954,2024-07-12,2024-07-11
235.0,call,28.76,8.0,-20.76,2528,2024-07-12,2024-07-11
232.5,call,33.05,10.1,-22.949999999999996,711,2024-07-12,2024-07-11
237.5,put,0.32,2.49,2.1700000000000004,35595,2024-07-12,2024-07-11
240.0,put,0.38,3.5,3.12,165716,2024-07-12,2024-07-11
235.0,put,0.27,1.74,1.47,89669,2024-07-12,2024-07-11
232.5,put,0.23,1.2,0.97,19847,2024-07-12,2024-07-11
250.0,call,1.11,0.02,-1.09,336528,2024-07-12,2024-07-12
252.5,call,0.71,0.02,-0.69,156820,2024-07-12,2024-07-12
247.5,call,1.61,0.48,-1.1300000000000001,141954,2024-07-12,2024-07-12
245.0,call,2.4,3.3,0.8999999999999999,115837,2024-07-12,2024-07-12
250.0,put,10.0,1.79,-8.21,151433,2024-07-12,2024-07-12
252.5,put,12.1,4.6,-7.5,24629,2024-07-12,2024-07-12
247.5,put,7.97,0.1,-7.87,161772,2024-07-12,2024-07-12
245.0,put,6.25,0.01,-6.24,189832,2024-07-12,2024-07-12
255.0,call,5.35,6.61,1.2600000000000007,30757,2024-07-19,2024-07-15
257.5,call,4.55,5.75,1.2000000000000002,24206,2024-07-19,2024-07-15
252.5,call,6.2,7.75,1.5499999999999998,8413,2024-07-19,2024-07-15
250.0,call,7.25,9.2,1.9499999999999993,22706,2024-07-19,2024-07-15
255.0,put,12.15,8.55,-3.5999999999999996,46827,2024-07-19,2024-07-15
257.5,put,13.8,9.95,-3.8500000000000014,30536,2024-07-19,2024-07-15
252.5,put,10.4,7.15,-3.25,18197,2024-07-19,2024-07-15
250.0,put,8.7,5.95,-2.749999999999999,64855,2024-07-19,2024-07-15
257.5,call,5.75,5.55,-0.20000000000000018,35845,2024-07-19,2024-07-16
260.0,call,4.75,4.55,-0.20000000000000018,105642,2024-07-19,2024-07-16
255.0,call,6.61,6.9,0.29000000000000004,76891,2024-07-19,2024-07-16
252.5,call,7.75,8.2,0.4499999999999993,43076,2024-07-19,2024-07-16
257.5,put,9.95,6.4,-3.549999999999999,11723,2024-07-19,2024-07-16
260.0,put,11.55,7.7,-3.8500000000000005,10062,2024-07-19,2024-07-16
255.0,put,8.55,5.0,-3.5500000000000007,35389,2024-07-19,2024-07-16
252.5,put,7.15,4.0,-3.1500000000000004,35156,2024-07-19,2024-07-16
250.0,call,9.85,4.1,-5.75,84397,2024-07-19,2024-07-17
252.5,call,8.2,3.15,-5.049999999999999,44884,2024-07-19,2024-07-17
247.5,call,11.6,5.45,-6.1499999999999995,21944,2024-07-19,2024-07-17
245.0,call,13.3,6.85,-6.450000000000001,18220,2024-07-19,2024-07-17
250.0,put,3.09,5.65,2.5600000000000005,110061,2024-07-19,2024-07-17
252.5,put,4.0,7.2,3.2,32673,2024-07-19,2024-07-17
247.5,put,2.36,4.3,1.94,42913,2024-07-19,2024-07-17
245.0,put,1.73,3.2,1.4700000000000002,86214,2024-07-19,2024-07-17
252.5,call,3.15,1.93,-1.22,88069,2024-07-19,2024-07-18
255.0,call,2.31,1.24,-1.07,151845,2024-07-19,2024-07-18
250.0,call,4.1,2.89,-1.2099999999999995,95483,2024-07-19,2024-07-18
247.5,call,5.45,4.25,-1.2000000000000002,13922,2024-07-19,2024-07-18
252.5,put,7.2,5.11,-2.09,69218,2024-07-19,2024-07-18
255.0,put,8.77,7.0,-1.7699999999999996,52654,2024-07-19,2024-07-18
250.0,put,5.65,3.65,-2.0000000000000004,180852,2024-07-19,2024-07-18
247.5,put,4.3,2.37,-1.9299999999999997,72793,2024-07-19,2024-07-18
240.0,call,9.9,0.01,-9.89,172948,2024-07-19,2024-07-19
242.5,call,7.7,0.01,-7.69,151615,2024-07-19,2024-07-19
237.5,call,12.2,1.2,-11.0,34039,2024-07-19,2024-07-19
235.0,call,14.5,4.48,-10.02,11435,2024-07-19,2024-07-19
240.0,put,0.6,0.94,0.33999999999999997,304967,2024-07-19,2024-07-19
242.5,put,0.99,3.2,2.21,105698,2024-07-19,2024-07-19
