Actual_High,Actual_Low,Predicted_High_XGBoost,Predicted_Low_XGBoost
228.94,228.85,228.97032,228.91562
217.115,216.75,217.13899,217.0156
214.13,214.05,214.15799,214.11208
214.53,214.18,214.35722,214.10422
225.05,224.893,224.90982,224.89233
213.72,213.478,213.81522,213.48334
226.655,226.51,226.70567,226.52274
228.58,228.415,228.68011,228.31964
213.95,213.78,213.94957,213.91881
214.83,214.74,214.8076,214.90022
210.18,210.11,210.24178,210.1005
228.07,227.71,228.24484,227.93134
209.76,209.65,209.71046,209.58223
213.69,213.53,213.72313,213.65758
212.6,212.52,212.57327,212.60011
230.215,229.885,230.27728,229.73729
209.855,209.75,209.75822,209.7021
228.04,227.96,227.94771,227.89888
214.27,214.23,214.33156,214.2289
214.259,214.165,214.22633,214.18459
232.57,232.48,232.65193,232.51154
213.55,213.5,213.53413,213.45013
228.18,227.81,228.0003,227.78188
229.48,226.435,230.47101,228.04144
208.99,208.86,208.88545,208.80284
210.82,210.77,210.74394,210.89624
217.74,217.5,217.9355,217.39447
213.96,213.26,213.71577,212.94945
211.36,211.23,211.29459,211.40257
231.46,230.62,231.42245,230.94986
210.7,210.585,210.70149,210.61478
207.78,207.65,207.80666,207.6518
225.47,225.29,225.41248,225.31131
213.5,213.32,213.72157,213.34106
213.28,213.1,213.30934,213.07384
231.02,230.65,230.80853,230.74113
211.2,211.19,211.2044,211.16609
209.16,209.09,209.20396,209.09613
226.5,226.42,226.48914,226.55602
210.2,210.12,210.22719,210.0967
218.64,218.59,218.43964,218.6183
228.18,227.91,228.01353,227.87392
213.71,213.32,213.52754,213.33044
232.27,232.186,232.30627,232.02002
213.365,213.28,213.35297,213.29135
207.47,207.41,207.45815,207.44006
226.38,226.18,226.32927,226.15834
214.7,214.66,214.65785,214.73895
226.89,226.76,227.00209,226.96402
227.83,227.76,227.8824,227.80391
229.7,229.53,229.65092,229.49037
232.75,232.7,232.75983,232.6523
220.95,220.84,220.99905,221.01251
216.67,216.62,216.57655,216.67699
209.986,209.87,209.93959,209.93504
214.37,214.06,214.42206,213.94273
212.9,212.82,212.84764,212.87444
226.64,226.52,226.48503,226.53596
230.74,230.53,230.72325,230.61594
214.68,214.21,214.96446,214.32068
213.89,213.82,213.9405,213.72365
213.25,202.037,214.1266,204.96729
227.62,227.53,227.62445,227.46751
217.07,216.99,217.03496,217.10406
228.967,228.85,228.97343,228.93202
231.25,231.04,231.27077,231.09436
228.97,228.902,228.96684,228.93484
228.98,228.9,228.98192,228.94347
210.89,210.74,210.87758,210.91821
224.96,224.885,224.88344,224.89537
217.08,217.03,216.9798,217.13007
207.62,207.6,207.62555,207.57837
229.87,229.8,229.83794,229.78067
226.39,226.34,226.35875,226.56203
213.77,213.57,213.73027,213.63152
227.83,227.67,227.88646,227.76997
210.72,209.36,210.38414,209.37871
228.44,228.22,228.38603,228.23036
213.1,212.97,213.1046,212.89093
210.43,210.38,210.44356,210.32353
219.61,219.33,219.57843,219.55804
213.29,212.81,213.27501,212.95131
227.87,227.8,227.91075,227.8994
217.24,217.16,217.14642,217.08879
211.41,211.28,211.45583,211.3671
214.28,214.2,214.24295,214.17378
211.4,211.34,211.44406,211.17287
227.68,227.16,227.60054,227.13979
221.36,221.28,221.35257,221.40517
229.4,228.03,229.09413,227.51108
219.55,219.39,219.64105,219.3938
213.28,213.05,213.41528,213.27637
219.69,219.64,219.72275,219.68631
213.88,213.77,213.94223,213.72128
221.4,221.26,221.42336,221.38118
210.7,210.67,210.86343,210.633
209.2,209.08,209.51233,209.17525
227.47,227.4,227.47903,227.3768
214.58,214.56,214.53601,214.53189
224.96,224.783,225.05978,224.87
224.97,224.695,225.16957,224.91011
209.24,209.14,209.21344,209.09381
219.78,219.69,219.74522,219.68134
225.29,225.1,225.35555,225.06987
228.67,228.38,228.67331,228.30469
210.03,209.955,209.93527,209.9332
231.365,231.226,231.50833,231.20082
212.59,212.5,212.44633,212.2816
228.98,228.9,228.96834,228.94637
221.8,221.25,221.7532,221.36903
211.32,211.29,211.39595,211.168
221.52,221.47,221.45752,221.41536
220.93,220.86,220.92429,220.79497
225.485,225.39,225.60515,225.5511
219.74,219.71,219.74974,219.70004
212.79,212.75,212.84018,212.90648
230.74,230.53,230.71896,230.59631
207.88,207.83,207.89702,207.84656
218.5,218.35,218.59898,218.5768
224.48,224.24,224.58958,224.29056
213.22,213.2,213.21674,213.09795
227.45,226.403,227.11082,226.57912
210.522,209.68,209.98808,209.45691
213.76,213.36,213.75023,213.37512
214.53,214.3,214.55144,214.417
218.16,218.08,218.05312,218.04099
220.85,220.82,220.80765,218.15994
213.28,213.14,213.26234,213.07353
211.6,211.35,211.67122,211.32368
214.2,213.54,214.14362,213.48601
214.11,213.96,214.07274,213.93753
209.9,209.825,209.86856,209.69063
218.07,218.05,218.04572,218.04749
217.2,216.94,217.03407,216.69174
